Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
33.8,-0.3,-0.4,-0.2,-0.3,-0.2,-0.4,-0.3,-0.2,-0.3,-0.4,-0.4,-0.3,-0.3,0.0,0.0,-0.2,-0.3,-0.3,33.8
33.9,-0.4,-0.3,0.1,0.1,0.1,-0.3,0.0,-0.1,-0.3,-0.4,-0.3,-0.1,-0.2,-0.2,-0.3,0.1,-0.1,-0.3,33.9
33.9,0.3,0.3,0.1,-0.3,-0.3,-0.4,-0.3,-0.1,-0.3,-0.4,-0.3,-0.6,-0.2,-0.2,0.1,-0.2,-0.3,-0.3,33.9
33.9,-0.5,-0.7,-0.2,-0.3,-0.3,-0.1,-0.1,-0.3,-0.4,-0.2,-0.4,-0.2,-0.3,-0.3,-0.6,-0.3,-0.2,-0.3,33.9
33.9,-0.2,-0.1,-0.6,-0.7,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.6,-0.5,-0.5,-0.5,-0.2,-0.7,-0.6,-0.5,33.9
33.9,-1.0,-0.6,-0.5,-0.8,-0.8,-0.8,-0.6,-0.6,-0.5,-0.4,-0.4,-0.2,-0.6,-0.6,-0.7,-0.7,-0.6,-0.5,33.9
33.9,-0.8,-0.9,-0.8,-0.5,-0.4,-0.6,-0.3,-0.6,-0.4,-0.5,-0.5,-0.5,-0.6,-0.5,-0.6,-0.6,-0.5,-0.5,33.9
34.0,-1.3,-1.0,-0.6,-0.6,-0.6,-0.5,-0.5,-0.6,-0.5,-0.6,-0.5,-0.6,-0.6,-0.6,-0.9,-0.6,-0.5,-0.5,34.0
34.0,-0.6,-0.6,-0.7,-0.4,-0.4,-0.3,-0.2,-0.3,-0.2,0.0,0.1,-0.1,-0.3,-0.4,-0.6,-0.5,-0.3,-0.0,34.0
34.0,-0.2,0.3,0.1,0.2,-0.0,-0.2,-0.1,-0.4,-0.4,-0.5,-0.6,-0.5,-0.2,-0.1,0.0,0.1,-0.2,-0.5,34.0
34.0,-0.8,-0.8,-0.7,-0.5,-0.7,-0.5,-0.5,-0.7,-0.6,-0.5,-0.8,-0.6,-0.6,-0.6,-0.7,-0.6,-0.5,-0.6,34.0
34.0,-0.6,-0.8,-0.3,-0.5,-0.3,-0.4,-0.3,-0.3,-0.3,-0.4,-0.6,-0.1,-0.4,-0.4,-0.7,-0.4,-0.3,-0.4,34.0
34.1,-0.5,-0.2,-0.7,-0.6,-0.4,-0.4,-0.6,-0.5,-0.3,-0.3,-0.8,-0.7,-0.5,-0.4,-0.3,-0.6,-0.5,-0.4,34.1
34.1,-1.4,-1.0,-0.4,-0.5,-0.6,-0.5,-0.2,-0.5,-0.4,-0.3,-0.3,-0.6,-0.6,-0.6,-1.0,-0.5,-0.4,-0.4,34.1
34.1,-1.0,-0.6,-0.4,-0.8,-0.6,-0.7,-0.5,-0.5,-0.5,-0.4,-0.5,-0.4,-0.6,-0.6,-0.7,-0.6,-0.5,-0.5,34.1
34.1,-0.8,-0.8,-0.6,-0.4,-0.5,-0.4,-0.3,-0.3,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.6,-0.5,-0.3,-0.2,34.1
34.1,-0.4,-0.2,-0.5,-0.5,-0.3,-0.2,-0.0,-0.1,-0.1,0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.4,-0.1,-0.0,34.1
34.1,-0.3,-0.3,-0.2,-0.0,-0.0,-0.2,-0.0,-0.2,-0.1,-0.2,-0.3,-0.4,-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,34.1
34.2,-0.0,-0.5,-0.9,-0.6,-0.5,-0.3,-0.4,-0.5,-0.4,-0.6,-0.7,-0.4,-0.5,-0.5,-0.3,-0.7,-0.4,-0.6,34.2
34.2,-0.3,-0.7,-0.6,-0.4,-0.4,-0.6,-0.3,-0.1,-0.1,-0.1,0.2,-0.5,-0.3,-0.3,-0.5,-0.5,-0.3,0.0,34.2
34.2,-0.6,-0.1,0.0,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,0.2,-0.1,-0.1,-0.1,-0.2,-0.4,-0.1,-0.2,0.0,34.2
34.2,-0.4,-0.2,0.1,-0.1,-0.3,-0.2,-0.3,-0.4,-0.4,-0.5,-0.3,-0.5,-0.3,-0.3,-0.2,-0.1,-0.3,-0.4,34.2
34.2,-0.3,-0.2,-0.5,-0.5,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.5,-0.5,-0.3,-0.5,-0.5,-0.6,34.2
34.3,-0.4,-0.1,-0.4,-0.7,-0.7,-0.8,-0.6,-0.8,-0.9,-0.8,-0.7,-0.9,-0.7,-0.6,-0.4,-0.6,-0.7,-0.8,34.3
34.3,-1.1,-1.0,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-1.0,-0.7,-0.3,-0.6,-0.8,-0.9,-1.0,-0.9,-0.9,-0.7,34.3
34.3,-0.6,-1.1,-0.4,-0.6,-0.5,-0.5,-0.5,-0.4,-0.3,-0.5,-0.1,-0.2,-0.5,-0.5,-0.8,-0.5,-0.5,-0.3,34.3
34.3,-0.5,-0.5,-0.3,-0.1,-0.5,-0.3,-0.4,-0.4,-0.5,-0.4,-0.7,-0.3,-0.4,-0.4,-0.4,-0.3,-0.4,-0.5,34.3
34.3,-0.8,-0.9,-0.5,-0.7,-0.8,-0.8,-0.6,-0.6,-0.6,-0.4,-0.8,-0.8,-0.7,-0.6,-0.6,-0.7,-0.7,-0.6,34.3
34.3,-0.8,-0.6,-1.0,-0.8,-0.7,-0.7,-0.6,-0.8,-0.6,-0.8,-0.9,-0.9,-0.8,-0.8,-0.7,-0.8,-0.7,-0.8,34.3
34.4,-1.3,-0.8,-1.0,-1.1,-1.0,-0.9,-0.8,-0.6,-0.7,-0.7,-0.6,-1.0,-0.9,-0.9,-1.0,-1.0,-0.8,-0.7,34.4
34.4,-0.8,-0.7,-0.9,-0.8,-0.6,-0.7,-0.6,-0.7,-0.7,-0.7,-1.0,-1.2,-0.8,-0.8,-0.8,-0.8,-0.6,-0.8,34.4
34.4,-1.1,-1.0,-1.1,-1.0,-0.9,-0.9,-0.8,-0.8,-0.7,-0.5,-0.4,-0.4,-0.8,-0.9,-1.1,-1.0,-0.8,-0.5,34.4
34.4,-0.5,-0.3,-0.7,-0.3,-0.4,-0.4,-0.8,-1.0,-1.0,-1.0,-0.7,-0.8,-0.7,-0.6,-0.4,-0.5,-0.7,-0.9,34.4
34.4,-0.7,-0.8,-0.8,-0.7,-0.8,-0.8,-0.6,-0.6,-0.6,-0.6,-0.4,-0.0,-0.6,-0.7,-0.8,-0.8,-0.7,-0.5,34.4
34.5,0.1,-0.2,-0.4,-0.5,-0.4,-0.5,-0.4,-0.3,-0.3,-0.1,-0.3,-0.1,-0.3,-0.3,-0.0,-0.5,-0.4,-0.2,34.5
34.5,-0.4,-0.1,-0.2,0.1,-0.1,-0.4,-0.2,-0.4,-0.4,-0.4,-0.2,-0.4,-0.3,-0.2,-0.2,-0.1,-0.3,-0.3,34.5
34.5,-0.2,-0.3,-0.5,-0.5,-0.6,-0.9,-0.7,-0.5,-0.6,-0.6,-0.8,-1.5,-0.6,-0.6,-0.3,-0.6,-0.7,-0.7,34.5
34.5,-1.0,-1.1,-1.1,-1.0,-1.0,-0.8,-0.5,-0.4,-0.4,-0.8,-0.6,-1.2,-0.8,-0.8,-1.2,-1.0,-0.5,-0.6,34.5
34.5,-0.8,-0.6,-0.4,-0.8,-0.8,-0.6,-0.6,-0.6,-0.3,-0.1,-0.2,-0.5,-0.5,-0.6,-0.9,-0.7,-0.6,-0.2,34.5
34.5,-0.4,-0.4,-0.4,-0.2,-0.5,-0.6,-0.5,-0.6,-0.5,-0.4,-0.7,-0.8,-0.5,-0.5,-0.4,-0.4,-0.6,-0.5,34.5
34.6,-0.4,-0.5,-0.2,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.5,-0.8,-0.5,-0.5,-0.6,-0.4,-0.6,-0.5,34.6
34.6,-0.1,-0.3,-0.4,-0.5,-0.5,-0.5,-0.3,-0.5,-0.3,-0.1,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.2,34.6
34.6,-0.6,-0.8,-0.3,-0.4,-0.6,-0.5,-0.5,-0.6,-0.6,-0.6,-0.3,-0.3,-0.5,-0.5,-0.6,-0.4,-0.5,-0.5,34.6
34.6,-0.5,-0.7,-0.6,-0.7,-0.6,-0.5,-0.6,-0.6,-0.6,-0.2,-0.1,-0.1,-0.5,-0.5,-0.5,-0.6,-0.6,-0.3,34.6
34.6,-0.4,-0.4,-0.1,-0.5,-0.3,-0.5,-0.5,-0.6,-0.6,-0.6,-0.4,-0.8,-0.5,-0.4,-0.3,-0.3,-0.5,-0.5,34.6
34.6,-0.7,-0.7,-0.5,-0.5,-0.5,-0.6,-0.5,-0.4,-0.3,-0.3,0.1,0.1,-0.4,-0.5,-0.7,-0.5,-0.5,-0.2,34.6
34.7,0.4,0.1,0.2,-0.2,-0.4,-0.5,-0.5,-0.2,-0.3,-0.2,-0.1,-0.5,-0.2,-0.1,0.2,-0.1,-0.4,-0.2,34.7
34.7,-0.5,-0.3,-0.7,-0.5,-0.5,-0.5,-0.3,-0.4,-0.2,-0.0,-0.1,-0.6,-0.4,-0.4,-0.4,-0.6,-0.4,-0.1,34.7
34.7,-0.1,-0.2,-0.5,-0.5,-0.5,-0.7,-0.3,-0.4,-0.4,-0.3,-0.2,-0.3,-0.4,-0.4,-0.3,-0.5,-0.5,-0.3,34.7
34.7,-0.8,-1.0,-0.6,-0.7,-0.7,-0.8,-0.6,-0.6,-0.5,-0.3,-0.2,-1.0,-0.6,-0.6,-0.7,-0.7,-0.7,-0.3,34.7
34.7,-0.5,-0.5,-0.2,-0.5,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,0.3,-0.1,-0.3,-0.4,-0.7,-0.4,-0.3,-0.1,34.7
